title,artist,weeks,peak_rank,date,peak_year
A World Without Love,Peter And Gordon,12.0,1.0,1964-05-06,1964
A World Without Music,Archie Bell & The Drells,2.0,90.0,1969-12-24,1969
A Worried Man,The Kingston Trio,11.0,20.0,1959-09-09,1959
A Year Ago Tonight,The Crests,10.0,42.0,1959-12-02,1959
A Young Girl,Noel Harrison,8.0,51.0,1965-12-01,1965
Abergavenny,Shannon,8.0,47.0,1969-07-09,1969
Abigail Beecher,Freddy Cannon,8.0,16.0,1964-01-29,1964
Abilene,George Hamilton IV,14.0,15.0,1963-06-19,1963
About This Thing Called Love,Fabian,7.0,31.0,1960-02-24,1960
Above The Stars,Mr. Acker Bilk,6.0,59.0,1962-07-11,1962
"Abraham, Martin And John",Dion,14.0,4.0,1969-06-25,1969
Across The Street,Lenny O'Henry,1.0,98.0,1964-05-27,1964
Act Naturally,The Beatles,7.0,47.0,1965-09-22,1965
Action,Freddy Cannon,9.0,13.0,1965-08-11,1965
Adam And Eve,Paul Anka,2.0,90.0,1960-03-30,1960
"Adeste Fideles (Oh, Come, All Ye Faithful)",Bing Crosby,3.0,45.0,1960-12-07,1960
Adios Amigo,Jim Reeves,6.0,90.0,1962-05-02,1962
African Waltz,Cannonball Adderley Orchestra,6.0,41.0,1961-04-05,1961
Afrikaan Beat,Bert Kaempfert And His Orchestra,10.0,42.0,1962-01-17,1962
After Loving You,Della Reese,2.0,95.0,1965-07-28,1965
Agent Double-O-Soul,Edwin Starr,11.0,21.0,1965-08-04,1965
"Ahab, The Arab",Ray Stevens,11.0,5.0,1962-06-27,1962
Ain't Doing Too Bad (Part 1),Bobby Bland,6.0,49.0,1964-10-21,1964
Ain't Gonna Be That Way,Marv Johnson,7.0,74.0,1960-05-25,1960
Ain't Gonna Cry No More,Brenda Lee,4.0,77.0,1966-06-29,1966
Ain't Gonna Kiss Ya,The Ribbons,4.0,81.0,1963-01-30,1963
Ain't Gonna Lie,Keith,10.0,39.0,1966-09-14,1966
Ain't Gonna Rest (Till I Get You),The Five Stairsteps,2.0,87.0,1967-04-12,1967
Ain't Gonna Tell Anybody,Jimmy Gilmer And The Fireballs,7.0,53.0,1964-03-11,1964
Ain't Got No; I Got Life,Nina Simone,4.0,94.0,1969-01-01,1969
Ain't It A Shame,Major Lance,3.0,91.0,1965-06-02,1965
Ain't It Funky Now (Part 1),James Brown,7.0,31.0,1969-11-19,1969
Ain't It The Truth,Mary Wells,8.0,45.0,1964-10-28,1964
Ain't It True,Andy Williams,7.0,40.0,1965-09-01,1965
"Ain't It, Baby",The Miracles,6.0,49.0,1961-03-22,1961
Ain't No Mountain High Enough,Marvin Gaye & Tammi Terrell,12.0,19.0,1967-05-10,1967
Ain't No Telling,Bobby Bland,1.0,93.0,1965-04-21,1965
Ain't No Way,Aretha Franklin,8.0,16.0,1968-04-03,1968
Ain't Nobody Home,Howard Tate,7.0,63.0,1966-08-17,1966
Ain't Nothin' But A House Party,The Show Stoppers,5.0,87.0,1968-05-29,1968
Ain't Nothing Like The Real Thing,Marvin Gaye & Tammi Terrell,13.0,8.0,1968-04-10,1968
Ain't Nothing You Can Do,Bobby Bland,9.0,20.0,1964-03-04,1964
Ain't She Sweet,The Beatles,9.0,19.0,1964-07-15,1964
Ain't That A Groove (Part 1),James Brown And The Famous Flames,7.0,42.0,1966-03-02,1966
Ain't That A Shame!,The 4 Seasons,9.0,22.0,1963-04-17,1963
Ain't That Just Like A Woman,Fats Domino,8.0,33.0,1961-01-18,1961
Ain't That Just Like Me,The Searchers,6.0,61.0,1964-04-15,1964
Ain't That Love,Four Tops,1.0,93.0,1965-07-28,1965
Ain't That Loving You,Bobby Bland,1.0,86.0,1962-03-28,1962
Ain't That Loving You Baby,Elvis Presley,10.0,16.0,1964-10-07,1964
Ain't That Peculiar,Marvin Gaye,12.0,8.0,1965-10-06,1965
Ain't Too Proud To Beg,The Temptations,13.0,13.0,1966-05-25,1966
Air Travel,Ray And Bob,1.0,99.0,1962-06-20,1962
Airplane Song (My Airplane),The Royal Guardsmen,6.0,46.0,1967-06-14,1967
Al Di La,Connie Francis,5.0,90.0,1963-01-02,1963
Al Di La',Emilio Pericoli,14.0,6.0,1962-05-16,1962
Al's Place,Al (He's the King) Hirt,7.0,57.0,1965-04-14,1965
Al-Di-La,The Ray Charles Singers,6.0,29.0,1964-07-08,1964
Alabam,Cowboy Copas,12.0,47.0,1960-09-21,1960
Aladdin,Bobby Curtola,3.0,92.0,1962-10-24,1962
Alfie,Cher,17.0,15.0,1966-08-24,1966
Alice In Wonderland,Neil Sedaka,10.0,17.0,1963-01-30,1963
