title,artist,weeks,peak_rank,date,peak_year
Too Late To Worry - Too Blue To Cry,Glen Campbell,2.0,76.0,1962-08-22,1962
Too Many Cooks (Spoil The Soup),100 Proof Aged in Soul,2.0,94.0,1969-12-17,1969
Too Many Fish In The Sea,The Marvelettes,12.0,25.0,1964-11-04,1964
Too Many Fish In The Sea & Three Little Fishes,Mitch Ryder And The Detroit Wheels,6.0,24.0,1967-04-26,1967
Too Many Rivers,Brenda Lee,13.0,13.0,1965-05-26,1965
Too Many Rules,Connie Francis,1.0,84.0,1961-07-12,1961
Too Much Of Nothing,"Peter, Paul & Mary",7.0,35.0,1967-11-22,1967
Too Much Talk,Paul Revere & The Raiders Featuring Mark Lindsay,8.0,19.0,1968-02-07,1968
Too Much Tequila,The Champs,11.0,30.0,1960-01-13,1960
"Too Pooped To Pop (""Casey"")",Chuck Berry,6.0,42.0,1960-02-10,1960
Too Slow,The Impressions,3.0,91.0,1966-03-30,1966
Too Soon To Know,Roy Orbison,5.0,68.0,1966-08-03,1966
Too Weak To Fight,Clarence Carter,15.0,13.0,1968-11-06,1968
Too Young To Go Steady,Connie Stevens,5.0,71.0,1960-06-29,1960
"Top Forty, News, Weather And Sports",Mark Dinning,6.0,81.0,1961-02-15,1961
Topsy I,Cozy Cole,13.0,27.0,1958-09-10,1958
Topsy II,Cozy Cole,21.0,3.0,1958-08-20,1958
Torquay,Fireballs,13.0,39.0,1959-09-23,1959
Torture,Kris Jensen,14.0,20.0,1962-08-29,1962
Tossin' And Turnin',Bobby Lewis,23.0,1.0,1961-04-19,1961
Tossing & Turning,The Ivy League,5.0,83.0,1965-09-15,1965
Touch Me,The Doors,13.0,3.0,1968-12-25,1968
Tower Of Strength,Gene McDaniels,13.0,5.0,1961-09-27,1961
Town Without Pity,Gene Pitney,19.0,13.0,1961-10-25,1961
Toy Soldier,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",5.0,64.0,1965-04-07,1965
Toys In The Attic,Jack Jones,2.0,85.0,1963-10-02,1963
Tra La La La La,Ike & Tina Turner,7.0,50.0,1962-03-21,1962
Tra La La La Suzy,Dean And Jean,13.0,35.0,1963-10-30,1963
Traces,Classics IV Featuring Dennis Yost,12.0,2.0,1969-02-05,1969
Traces/Memories Medley,The Lettermen,2.0,66.0,1969-12-24,1969
Tracks Of My Tears,Aretha Franklin,6.0,71.0,1969-03-12,1969
Tracy,The Cuff Links,12.0,9.0,1969-09-10,1969
Tracy's Theme,Spencer Ross,14.0,13.0,1959-12-30,1959
Tragedy,Thomas Wayne With the Delons,19.0,5.0,1959-01-21,1959
Train Of Love,Annette With The Afterbeats,8.0,36.0,1960-06-01,1960
Trains And Boats And Planes,Billy J. Kramer With The Dakotas,7.0,22.0,1965-06-23,1965
Tramp,Lowell Fulsom,9.0,26.0,1967-01-11,1967
Transistor Sister,Freddy Cannon,8.0,35.0,1961-07-26,1961
Travelin' Man,Ricky Nelson,16.0,1.0,1961-04-19,1961
Travlin' Man,Stevie Wonder,7.0,32.0,1967-03-01,1967
Treasure Of Your Love,Eileen Rodgers,15.0,26.0,1958-08-20,1958
Treat Her Right,Roy Head And The Traits,11.0,2.0,1965-09-01,1965
Treat My Baby Good,Bobby Darin,9.0,43.0,1963-08-21,1963
Trees,The Platters,4.0,62.0,1961-03-29,1961
Triangle,Janie Grant,13.0,29.0,1961-03-22,1961
Trouble Down Here Below,Lou Rawls,3.0,92.0,1967-01-25,1967
Trouble I've Had,Clarence Ashe,1.0,99.0,1964-06-03,1964
Trouble In Mind,Nina Simone,5.0,86.0,1962-12-12,1962
Trouble In Paradise,The Crests,13.0,20.0,1960-06-08,1960
Trouble Is My Middle Name,Bobby Vinton,9.0,33.0,1962-12-05,1962
Truck Stop,Jerry Smith and his Pianos,7.0,71.0,1969-05-07,1969
True Blue Lou,Tony Bennett,2.0,99.0,1963-07-24,1963
True Grit,Glen Campbell,7.0,35.0,1969-07-23,1969
True Love,Richard Chamberlain,1.0,98.0,1963-07-24,1963
True Love Goes On And On,Burl Ives,6.0,66.0,1963-12-25,1963
True Love Never Runs Smooth,Gene Pitney,11.0,21.0,1963-07-03,1963
True Love Ways,Peter And Gordon,11.0,14.0,1965-04-14,1965
True True Happiness,Johnny Tillotson,9.0,54.0,1959-08-19,1959
"True, True Love",Frankie Avalon,2.0,90.0,1961-09-20,1961
Truly Julie's Blues (I'll Be There),Bob Lind,5.0,65.0,1966-05-04,1966
"Truly, Truly, True",Brenda Lee,6.0,54.0,1965-03-31,1965
Trust In Me,Patti Page,9.0,30.0,1959-01-07,1959
Try A Little Kindness,Glen Campbell,11.0,23.0,1969-10-08,1969
Try A Little Tenderness,Aretha Franklin,12.0,25.0,1962-09-26,1962
Try It,Ohio Express,2.0,83.0,1968-01-31,1968
Try It Baby,Marvin Gaye,11.0,15.0,1964-06-03,1964
Try Me,James Brown And The Famous Flames,13.0,48.0,1965-11-17,1965
Try My Love Again,Bobby Moore's Rhythm Aces featuring Chico,2.0,97.0,1966-12-14,1966
Try The Impossible,Lee Andrews And The Hearts,2.0,70.0,1958-01-01,1958
Try To Remember,Ed Ames,6.0,73.0,1965-11-03,1965
Try Too Hard,The Dave Clark Five,8.0,12.0,1966-03-30,1966
Tucumcari,Jimmie Rodgers,9.0,32.0,1959-09-16,1959
Tuesday Afternoon (Forever Afternoon),The Moody Blues,11.0,24.0,1968-07-17,1968
Tuff,Ace Cannon,16.0,17.0,1961-12-20,1961
Tunes Of Glory,Mitch Miller With Orchestra And Chorus,2.0,88.0,1961-02-22,1961
Tunnel Of Love,Doris Day,8.0,43.0,1958-10-22,1958
Turn Around,Dick and DeeDee,9.0,27.0,1963-11-20,1963
Turn Around And Love You,Rita Coolidge,1.0,96.0,1969-05-07,1969
"Turn Around, Look At Me",Glen Campbell,15.0,7.0,1961-10-25,1961
Turn Me Loose,Fabian,13.0,9.0,1959-03-25,1959
Turn On A Dream,The Box Tops,7.0,58.0,1969-10-15,1969
Turn On Your Love Light,Bobby Bland,10.0,28.0,1968-03-06,1968
Turn The World Around,Eddy Arnold,8.0,66.0,1967-08-16,1967
Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,14.0,1.0,1965-10-20,1965
Turn! Turn! Turn!/To Everything There Is A Season,Judy Collins,6.0,69.0,1969-11-26,1969
Turn-Down Day,The Cyrkle,8.0,16.0,1966-08-10,1966
Turvy II,Cozy Cole,8.0,36.0,1958-11-26,1958
Tuxedo Junction,Frankie Avalon,2.0,82.0,1960-06-08,1960
Twelve Thirty (Young Girls Are Coming To The Canyon),The Mamas & The Papas,6.0,20.0,1967-08-23,1967
Twenty Four Hours From Tulsa,Gene Pitney,11.0,17.0,1963-10-16,1963
Twenty Miles,Chubby Checker,12.0,15.0,1963-02-20,1963
Twenty-Five Miles,Edwin Starr,14.0,6.0,1969-02-12,1969
Twice As Nice,Clyde McPhatter,2.0,91.0,1959-08-19,1959
Twilight Time,Andy Williams,3.0,86.0,1962-12-05,1962
Twine Time,Alvin Cash & The Crawlers,11.0,14.0,1964-12-30,1964
Twinkle Toes,Roy Orbison,6.0,39.0,1966-04-27,1966
Twist And Shout,The Isley Brothers,16.0,2.0,1962-05-30,1962
Twist It Up,Chubby Checker,8.0,25.0,1963-07-17,1963
"Twist, Twist Senora",Gary U.S. Bonds,10.0,9.0,1962-03-28,1962
Twist-Her,Bill Black's Combo,9.0,26.0,1961-12-13,1961
Twistin' All Night Long,Danny & The Juniors with Freddy Cannon,5.0,68.0,1961-12-27,1961
Twistin' Bells,Santo & Johnny,3.0,49.0,1960-12-14,1960
Twistin' Matilda (and the channel),Jimmy Soul,14.0,22.0,1962-03-28,1962
Twistin' Postman,The Marvelettes,9.0,34.0,1962-01-24,1962
Twistin' The Night Away,Sam Cooke,15.0,9.0,1962-01-31,1962
Twistin' U.S.A.,Danny & The Juniors,9.0,27.0,1960-09-14,1960
Twistin' With Linda,The Isley Brothers,9.0,54.0,1962-09-19,1962
Twixt Twelve And Twenty,Pat Boone,11.0,17.0,1959-06-10,1959
Two Brothers,David Hill,2.0,90.0,1959-04-15,1959
Two Different Worlds,Lenny Welch,8.0,61.0,1965-08-18,1965
Two Faces Have I,Lou Christie,15.0,6.0,1963-03-27,1963
Two Fools,Frankie Avalon,5.0,54.0,1959-09-16,1959
Two In The Afternoon,"Dino, Desi & Billy",1.0,99.0,1967-06-14,1967
Two Kind Of Teardrops,Del Shannon,9.0,50.0,1963-04-10,1963
Two Little Kids,Peaches & Herb,8.0,31.0,1967-12-13,1967
Two Lovers,Mary Wells,13.0,7.0,1962-11-28,1962
Two Of A Kind,Sue Thompson,9.0,42.0,1962-03-14,1962
Two Sides (To Every Story),Etta James,4.0,63.0,1963-10-02,1963
"Two Thousand, Two Hundred, Twenty-Three Miles",Patti Page,2.0,67.0,1960-04-20,1960
Two Tickets To Paradise,Brook Benton,10.0,32.0,1963-09-04,1963
Two Wrongs Don't Make A Right,Mary Wells,1.0,100.0,1963-03-20,1963
Two-Bit Manchild,Neil Diamond,6.0,66.0,1968-07-10,1968
"Two-Ten, Six-Eighteen (Doesn't Anybody Know My Name)",Jimmie Rodgers,7.0,78.0,1963-10-09,1963
U.S. Male,Elvis Presley With The Jordanaires,9.0,28.0,1968-03-20,1968
Uh! Oh! Part 1,The Nutty Squirrels,6.0,45.0,1959-12-02,1959
Uh! Oh! Part 2,The Nutty Squirrels,12.0,14.0,1959-11-04,1959
"Um, Um, Um, Um, Um, Um",Major Lance,11.0,5.0,1964-01-01,1964
Unchain My Heart,Ray Charles and his Orchestra,12.0,9.0,1968-02-14,1968
Unchained Melody,Vito & The Salutations,13.0,4.0,1963-10-23,1963
Under The Boardwalk,The Drifters,14.0,4.0,1964-06-24,1964
Under The Moon Of Love,Curtis Lee,7.0,46.0,1961-10-11,1961
Under Your Spell Again,Johnny Rivers,8.0,35.0,1965-12-15,1965
Understand Your Man,Johnny Cash,8.0,35.0,1964-02-12,1964
Understanding,Ray Charles,12.0,46.0,1968-06-12,1968
Underwater,The Frogmen,8.0,44.0,1961-03-29,1961
Undun,The Guess Who,10.0,22.0,1969-10-15,1969
Unforgettable,Dinah Washington,13.0,17.0,1959-09-30,1959
United,Peaches & Herb,8.0,46.0,1968-05-15,1968
United (Part 1),The Music Makers,7.0,78.0,1967-12-27,1967
Universal Soldier,Donovan,7.0,53.0,1965-09-22,1965
Unless You Care,Terry Black,2.0,99.0,1964-11-18,1964
Unsquare Dance,The Dave Brubeck Quartet,6.0,74.0,1961-11-29,1961
Untie Me,The Tams,7.0,60.0,1962-10-17,1962
Unwind,Ray Stevens,9.0,52.0,1968-04-17,1968
Up -- Up And Away,The 5th Dimension,12.0,7.0,1967-05-31,1967
Up A Lazy River,Si Zentner And His Orchestra,9.0,43.0,1961-11-08,1961
Up Above My Head (I Hear Music In The Air),Al (He's the King) Hirt,5.0,85.0,1964-10-07,1964
Up And Down,The McCoys,6.0,46.0,1966-02-09,1966
Up From The Skies,The Jimi Hendrix Experience,4.0,82.0,1968-03-13,1968
Up On Cripple Creek,The Band,10.0,25.0,1969-10-29,1969
Up On The Roof,The Drifters,20.0,5.0,1962-10-31,1962
Up Tight,Ramsey Lewis,5.0,49.0,1966-10-12,1966
"Up Tight, Good Man",Laura Lee,6.0,93.0,1967-12-20,1967
Up To My Neck In High Muddy Water,Linda Ronstadt & The Stone Poneys,2.0,93.0,1968-03-27,1968
Up Town,Roy Orbison,6.0,72.0,1960-01-13,1960
Up Until Now,Johnnie Ray,3.0,81.0,1958-08-27,1958
Up-Hard,Willie Mitchell,4.0,91.0,1968-10-02,1968
Up-Up And Away,The Johnny Mann Singers,8.0,71.0,1967-06-21,1967
Ups And Downs,Paul Revere & The Raiders,8.0,22.0,1967-02-15,1967
Uptight (Everything's Alright),Stevie Wonder,14.0,3.0,1965-12-15,1965
Uptown,The Crystals,13.0,13.0,1962-03-28,1962
Use Your Head,Mary Wells,6.0,34.0,1964-12-30,1964
Utopia,Frank Gari,14.0,27.0,1960-12-14,1960
Vacation,Connie Francis,9.0,9.0,1962-07-25,1962
Valleri,The Monkees,10.0,3.0,1968-03-06,1968
Valley Of The Dolls,King Curtis & The Kingpins,2.0,83.0,1968-06-12,1968
Vance,Roger Miller,6.0,80.0,1968-12-04,1968
Vanishing Point,The Marketts,4.0,90.0,1964-03-25,1964
Vaquero (Cowboy),The Fireballs,1.0,99.0,1960-08-24,1960
Vaya Con Dios,The Drifters,7.0,43.0,1964-01-29,1964
Velvet Waters,The Megatrons,9.0,51.0,1959-05-27,1959
Venus,Frankie Avalon,17.0,1.0,1959-02-04,1959
Venus In Blue Jeans,Jimmy Clanton,13.0,7.0,1962-08-15,1962
Village Of Love,Nathaniel Mayer And The Fabulous Twilights,12.0,22.0,1962-04-25,1962
Viva Las Vegas,Elvis Presley With The Jordanaires,7.0,29.0,1964-07-01,1964
Voice Your Choice,The Radiants,9.0,51.0,1964-12-23,1964
Volare,Bobby Rydell,15.0,4.0,1960-07-13,1960
Volare (Nel Blu Dipinto Di Blu),Dean Martin,13.0,15.0,1958-01-01,1958
"Volare (Nel Blu, Dipinto Di Blu)",The McGuire Sisters,1.0,80.0,1958-08-27,1958
Volunteers,Jefferson Airplane,9.0,65.0,1969-11-05,1969
Voodoo Woman,Bobby Goldsboro,11.0,27.0,1965-04-28,1965
Wabash Blues,The Viscounts,7.0,77.0,1960-11-30,1960
Wack Wack,The Young Holt Trio,8.0,40.0,1966-12-14,1966
Wade In The Water,Ramsey Lewis,13.0,19.0,1966-07-06,1966
Wait,Jimmy Clanton,3.0,91.0,1960-09-21,1960
Wait A Minute,The Coasters,8.0,37.0,1961-01-25,1961
Wait For Me,The Playmates,8.0,37.0,1960-10-19,1960
Wait Til' My Bobby Gets Home,Darlene Love,10.0,26.0,1963-07-17,1963
Waitin' In Your Welfare Line,Buck Owens,7.0,57.0,1966-01-26,1966
Wake Me When It's Over,Andy Williams,8.0,50.0,1960-03-16,1960
"Wake Me, Shake Me",The Coasters,9.0,51.0,1960-06-15,1960
Wake Up,The Chambers Brothers,2.0,92.0,1969-07-09,1969
"Wake Up, Wake Up",The Grass Roots,5.0,68.0,1967-10-25,1967
Walk -- Don't Run,The Ventures,18.0,2.0,1960-07-13,1960
Walk A Mile In My Shoes,Joe South and The Believers,1.0,54.0,1969-12-31,1969
Walk Away,Matt Monro,9.0,23.0,1964-11-25,1964
Walk Away Renee,The Left Banke,13.0,5.0,1968-01-31,1968
Walk Like A Man,The 4 Seasons,13.0,1.0,1963-01-23,1963
Walk On By,Leroy Van Dyke,16.0,5.0,1961-10-25,1961
Walk On The Wild Side,Brook Benton,7.0,43.0,1962-02-14,1962
Walk On The Wild Side (Part 1),Jimmy Smith And The Big Band,13.0,21.0,1962-05-09,1962
Walk On With The Duke,The Duke Of Earl,2.0,91.0,1962-04-25,1962
Walk Right Back,The Everly Brothers,13.0,7.0,1961-02-01,1961
Walk Right In,The Rooftop Singers,13.0,1.0,1963-01-09,1963
Walk Slow,Little Willie John,8.0,48.0,1960-11-23,1960
Walk Tall,2 Of Clubs,3.0,92.0,1967-03-15,1967
Walk With Faith In Your Heart,The Bachelors,3.0,83.0,1967-01-04,1967
Walk-Don't Run '64,The Ventures,11.0,8.0,1964-07-08,1964
Walkin' Back To Happiness,Helen Shapiro,1.0,100.0,1961-11-29,1961
Walkin' In The Rain,Jay & The Americans,7.0,45.0,1969-11-19,1969
Walkin' In The Sunshine,Roger Miller,7.0,37.0,1967-03-22,1967
Walkin' My Cat Named Dog,Norma Tanega,9.0,22.0,1966-02-23,1966
Walkin' Proud,The Pete Klint Quintet,3.0,98.0,1967-10-04,1967
Walkin' To Mother's,Ray Anthony and His Orchestra,1.0,96.0,1959-04-15,1959
Walkin' With My Angel,Bobby Vee,9.0,53.0,1961-11-22,1961
Walking Along,The Diamonds,12.0,29.0,1958-10-22,1958
Walking In The Rain,The Ronettes,11.0,23.0,1964-10-21,1964
Walking Proud,Steve Lawrence,9.0,26.0,1963-10-16,1963
Walking The Dog,Rufus Thomas,14.0,10.0,1963-10-02,1963
Walking The Floor Over You,Pat Boone,8.0,44.0,1960-05-18,1960
Walking To New Orleans,Fats Domino,14.0,6.0,1960-06-15,1960
Waltzing Matilda,Jimmie Rodgers,8.0,41.0,1960-01-13,1960
Wang Dang Doodle,Ko Ko Taylor,8.0,58.0,1966-04-20,1966
Want You To Know,Rotary Connection,1.0,96.0,1969-12-31,1969
"Wanted: Lover, No Experience Necessary",Laura Lee,2.0,84.0,1967-11-29,1967
Warm And Tender Love,Percy Sledge,9.0,17.0,1966-07-20,1966
Warmed Over Kisses (Left Over Love),Brian Hyland,8.0,25.0,1962-09-19,1962
Was It Good To You,The Isley Brothers,5.0,83.0,1969-09-24,1969
Washed Ashore (On A Lonely Island In The Sea),The Platters,8.0,56.0,1967-06-28,1967
Washington Square,The Village Stompers,14.0,2.0,1963-09-18,1963
Wasn't The Summer Short?,Johnny Mathis,1.0,89.0,1961-10-18,1961
Watch Her Ride,Jefferson Airplane,4.0,61.0,1967-12-13,1967
Watch The Flowers Grow,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",7.0,30.0,1967-10-25,1967
Watch Your Step,Bobby Parker,9.0,51.0,1961-06-07,1961
Water Boy,Don Shirley Trio,14.0,40.0,1961-07-12,1961
Waterloo,Stonewall Jackson,16.0,4.0,1959-05-20,1959
Watermelon Man,Mongo Santamaria Band,11.0,10.0,1963-03-13,1963
Way Down Yonder In New Orleans,Freddie Cannon,15.0,3.0,1959-11-18,1959
Way Over There,The Miracles,3.0,94.0,1962-09-12,1962
We Belong Together,Jimmy Velvet,7.0,75.0,1963-12-11,1963
We Can Fly,The Cowsills,9.0,21.0,1968-01-10,1968
We Can Work It Out,The Beatles,12.0,1.0,1965-12-15,1965
We Could,Al Martino,6.0,41.0,1964-11-04,1964
We Go Together,Jan & Dean,7.0,53.0,1960-07-27,1960
We Got A Thing That's In The Groove,The Capitols,6.0,65.0,1966-11-09,1966
We Got Love,Bobby Rydell,17.0,6.0,1959-10-07,1959
We Got More Soul,Dyke And The Blazers,10.0,35.0,1969-05-14,1969
We Got The Winning Hand,Little Milton,1.0,100.0,1966-02-09,1966
We Gotta All Get Together,Paul Revere & The Raiders Featuring Mark Lindsay,7.0,50.0,1969-09-03,1969
We Gotta Get Out Of This Place,The Animals,11.0,13.0,1965-08-11,1965
We Had A Good Thing Goin',The Cyrkle,5.0,72.0,1967-05-10,1967
We Have Love,Jackie Wilson,3.0,76.0,1958-09-17,1958
We Know We're In Love,Lesley Gore,3.0,76.0,1966-02-02,1966
We Love You,The Rolling Stones,6.0,50.0,1967-09-13,1967
We Love You Beatles,The Carefrees,5.0,39.0,1964-03-18,1964
"We Love You, Call Collect",Art Linkletter,6.0,42.0,1969-10-29,1969
We Must Be In Love,Five Stairsteps & Cubie,3.0,88.0,1969-10-15,1969
We Shall Overcome,Joan Baez,1.0,90.0,1963-11-06,1963
We Told You Not To Marry,Titus Turner,6.0,83.0,1959-11-18,1959
We'll Cry Together,Maxine Brown,8.0,73.0,1969-09-24,1969
We'll Sing In The Sunshine,Gale Garnett,17.0,4.0,1964-08-05,1964
We're A Winner,The Impressions,13.0,14.0,1967-12-27,1967
We're Doing Fine,Dee Dee Warwick,1.0,96.0,1965-08-04,1965
We're Gonna Make It,Little Milton,11.0,25.0,1965-03-24,1965
We're Rolling On (Part I),The Impressions,7.0,59.0,1968-04-17,1968
Wear It On Our Face,The Dells,8.0,44.0,1968-04-10,1968
Wear Your Love Like Heaven,Donovan,7.0,23.0,1967-11-22,1967
Wedding Bell Blues,The 5th Dimension,15.0,1.0,1969-09-24,1969
Wednesday,The Royal Guardsmen,2.0,97.0,1967-09-06,1967
Week End,The Kingsmen,3.0,84.0,1958-08-27,1958
Welcome Home,Sammy Kaye And His Orchestra,3.0,68.0,1965-06-09,1965
Welcome Home Baby,The Shirelles,8.0,22.0,1962-06-20,1962
Welcome Me Love,The Brooklyn Bridge Featuring Johnny Maestro,9.0,48.0,1969-05-07,1969
Well I'm Your Man,Johnny Tillotson,3.0,87.0,1958-10-01,1958
"Well, I Told You",The Chantels,9.0,29.0,1961-11-08,1961
"Well-A, Well-A",Shirley & Lee,6.0,77.0,1961-08-02,1961
Wendy,The Beach Boys,6.0,44.0,1964-10-14,1964
"Wendy, Wendy",The Four Coins,3.0,72.0,1958-09-17,1958
Werewolf,The Frantics,2.0,83.0,1960-02-24,1960
West Of The Wall,Toni Fisher,11.0,37.0,1962-05-23,1962
Western Movies,The Olympics,12.0,8.0,1958-01-01,1958
Western Union,The Five Americans,12.0,5.0,1967-03-01,1967
Wham!,Lonnie Mack,9.0,24.0,1963-08-21,1963
What A Diff'rence A Day Makes,Dinah Washington,20.0,8.0,1959-05-20,1959
What A Fool I've Been,Carla Thomas,2.0,93.0,1963-07-17,1963
What A Guy,The Raindrops,8.0,41.0,1963-04-24,1963
What A Party,Fats Domino,8.0,22.0,1961-09-27,1961
What A Price,Fats Domino,9.0,22.0,1961-01-18,1961
What A Surprise,Johnny Maestro The Voice Of The Crests,9.0,33.0,1961-04-19,1961
What A Sweet Thing That Was,The Shirelles,6.0,54.0,1961-07-12,1961
What A Walk,Bobby Lewis,3.0,77.0,1961-11-15,1961
What A Woman In Love Won't Do,Sandy Posey,7.0,31.0,1967-03-08,1967
What About Me,Don Gibson,1.0,100.0,1961-02-08,1961
What About Us,The Coasters,10.0,47.0,1959-12-02,1959
What Am I Going To Do Without Your Love,Martha & The Vandellas,5.0,71.0,1966-06-08,1966
What Am I Gonna Do,Jimmy Clanton,6.0,50.0,1961-01-04,1961
What Am I Living For,Chuck Willis,11.0,25.0,1967-07-05,1967
What Am I Supposed To Do,Ann-Margret,5.0,82.0,1962-03-21,1962
What Are Boys Made Of,The Percells,6.0,53.0,1963-03-27,1963
What Are We Going To Do?,David Jones,3.0,93.0,1965-08-11,1965
What Becomes Of The Brokenhearted,Jimmy Ruffin,17.0,7.0,1966-08-17,1966
What Color (Is A Man),Bobby Vinton,7.0,38.0,1965-09-15,1965
What Did Daddy Do,Shep And The Limelites,2.0,94.0,1962-06-27,1962
What Do I Care,Johnny Cash,8.0,52.0,1958-10-15,1958
What Do You Want With Me,Chad & Jeremy,8.0,51.0,1965-04-07,1965
What Do You Want?,Bobby Vee,2.0,93.0,1960-03-30,1960
What Does A Girl Do?,Marcie Blane,6.0,53.0,1963-02-20,1963
What Does It Take (To Win Your Love),Jr. Walker & The All Stars,16.0,4.0,1969-05-14,1969
What Goes On,The Beatles,2.0,81.0,1966-03-09,1966
What Good Am I Without You,Marvin Gaye & Kim Weston,6.0,61.0,1964-10-21,1964
What Have I Got Of My Own,Trini Lopez,13.0,43.0,1964-05-06,1964
What Have They Done To The Rain,The Searchers,7.0,29.0,1965-01-27,1965
What In The World's Come Over You,Jack Scott,16.0,5.0,1960-01-06,1960
What Is A Man,Four Tops,7.0,53.0,1969-05-07,1969
What Is Love?,The Playmates,13.0,15.0,1959-07-01,1959
What Kind Of Fool (Do You Think I Am),The Tams,14.0,9.0,1963-12-11,1963
What Kind Of Fool Am I,Sammy Davis Jr.,15.0,17.0,1962-09-19,1962
What Kind Of Fool Am I?,Robert Goulet,2.0,89.0,1962-10-03,1962
What Kind Of Fool Do You Think I Am,Bill Deal & The Rhondels,9.0,23.0,1969-08-13,1969
What Kind Of Love Is This,Joey Dee & the Starliters,10.0,18.0,1962-08-22,1962
What Little Girl,Frankie Avalon,2.0,79.0,1958-10-08,1958
What Now,Gene Chandler,8.0,40.0,1964-12-02,1964
What Now My Love,Sonny & Cher,8.0,14.0,1966-09-28,1966
What The World Needs Now Is Love,Jackie DeShannon,13.0,7.0,1965-05-19,1965
What Time Is It?,The Jive Five With Eugene Pitts,5.0,67.0,1962-09-12,1962
What To Do With Laurie,Mike Clifford,7.0,68.0,1962-12-26,1962
What Will I Tell My Heart,The Harptones,2.0,96.0,1961-05-03,1961
What Will My Mary Say,Johnny Mathis,12.0,9.0,1963-01-23,1963
What Would I Do,Mickey & Sylvia,9.0,46.0,1960-12-28,1960
What Would You Do?,Jim Reeves,5.0,73.0,1961-07-05,1961
What You Gave Me,Marvin Gaye & Tammi Terrell,6.0,49.0,1969-11-26,1969
What'd I Say,Jerry Lee Lewis And His Pumping Piano,8.0,21.0,1961-03-29,1961
What'd I Say (Part 1),Bobby Darin,8.0,24.0,1962-03-28,1962
What'd I Say (Part I & II),Ray Charles and his Orchestra,15.0,6.0,1959-07-01,1959
What's A Matter Baby (Is It Hurting You),Timi Yuro,11.0,12.0,1962-07-11,1962
What's Easy For Two Is So Hard For One,Mary Wells,17.0,29.0,1963-10-16,1963
What's Gonna Happen When Summer's Done,Freddy Cannon,4.0,45.0,1962-09-05,1962
What's Happening,Wade Flemons,2.0,94.0,1960-02-10,1960
What's He Doing In My World,Eddy Arnold,9.0,60.0,1965-05-12,1965
What's It Gonna Be,Dusty Springfield,8.0,49.0,1967-11-15,1967
What's Made Milwaukee Famous (Has Made A Loser Out Of Me),Jerry Lee Lewis,3.0,94.0,1968-07-03,1968
What's New Pussycat?,Tom Jones,12.0,3.0,1965-06-16,1965
What's So Good About Good-by,The Miracles,10.0,35.0,1962-01-10,1962
What's The Matter With You Baby,Marvin Gaye & Mary Wells,10.0,17.0,1964-05-13,1964
What's The Reason,Bobby Edwards,6.0,71.0,1962-01-10,1962
What's The Use Of Breaking Up,Jerry Butler,10.0,20.0,1969-08-27,1969
What's Your Name,Don & Juan,13.0,7.0,1962-02-07,1962
What've I Done (To Make You Mad),Linda Jones,6.0,61.0,1967-09-27,1967
Whatcha' Gonna Do,Nat King Cole,2.0,92.0,1960-03-02,1960
Whatever You Want,Jerry Butler,6.0,68.0,1963-03-27,1963
Wheel Of Fortune,The Knightsbridge Strings,4.0,83.0,1959-10-28,1959
Wheels,The String-A-Longs,16.0,3.0,1961-01-04,1961
When,Kalin Twins,9.0,5.0,1958-01-01,1958
When A Boy Falls In Love,Mel Carter,10.0,44.0,1965-06-02,1965
When A Man Loves A Woman,Percy Sledge,13.0,1.0,1966-04-06,1966
When A Woman Loves A Man,Esther Phillips,5.0,73.0,1966-06-01,1966
When He Touches Me (Nothing Else Matters),Peaches & Herb,7.0,49.0,1969-02-26,1969
When I Die,Motherlode,13.0,18.0,1969-08-06,1969
When I Fall In Love,Etta Jones,14.0,7.0,1961-01-11,1961
When I Get Thru With You (You'll Love Me Too),Patsy Cline,6.0,53.0,1962-05-16,1962
When I Grow Too Old To Dream,Ed Townsend,7.0,59.0,1958-09-24,1958
When I Grow Up (To Be A Man),The Beach Boys,10.0,9.0,1964-09-02,1964
When I Was Young,Eric Burdon & The Animals,9.0,15.0,1967-04-05,1967
When I'm Gone,Brenda Holloway,9.0,25.0,1965-03-03,1965
When Joanna Loved Me,Tony Bennett,5.0,94.0,1964-03-18,1964
When Julie Comes Around,The Cuff Links,4.0,55.0,1969-12-10,1969
When Liking Turns To Loving,Ronnie Dove,9.0,18.0,1966-01-19,1966
When Love Slips Away,Dee Dee Warwick,1.0,92.0,1967-05-03,1967
When My Little Girl Is Smiling,The Drifters,10.0,28.0,1962-02-21,1962
When Something Is Wrong With My Baby,Sam & Dave,8.0,42.0,1967-02-22,1967
When The Boy In Your Arms (Is The Boy In Your Heart),Connie Francis,12.0,10.0,1961-11-15,1961
When The Boy's Happy (The Girl's Happy Too),The Four Pennies,1.0,95.0,1963-11-06,1963
When The Boys Get Together,Joanie Sommers,3.0,94.0,1962-10-03,1962
When The Good Sun Shines,Elmo & Almo,2.0,98.0,1967-05-31,1967
When The Lovelight Starts Shining Through His Eyes,The Supremes,11.0,23.0,1963-11-27,1963
When The Saints Go Marching In,Fats Domino,8.0,50.0,1959-02-11,1959
