artist
"Bruno Mars, Anderson .Paak, Silk Sonic"
BTS
Harry Styles
Beyoncé
Bad Bunny
Steve Lacy
"Drake, 21 Savage"
SZA
Taylor Swift
The Weeknd
Post Malone
Olivia Rodrigo
Olivia Rodrigo
Dua Lipa
SZA
"Drake, 21 Savage"
